,Name,Year,Kilometers_Driven,Fuel_Type,Mileage,Engine,Power,Price
0,Maruti Wagon R,2010,72000,CNG,26.6,998,58.16,1.75
1,Hyundai Creta 1.6,2015,41000,Diesel,19.67,1582,126.2,12.5
2,Honda Jazz V,2011,46000,Petrol,18.2,1199,88.7,4.5
3,Maruti Ertiga VDI,2012,87000,Diesel,20.77,1248,88.76,6.0
4,Audi A4 New,2013,40670,Diesel,15.2,1968,140.8,17.74
5,Hyundai EON LPG,2012,75000,LPG,21.1,814,55.2,2.35
6,Nissan Micra Diesel,2013,86999,Diesel,23.08,1461,63.1,3.5
7,Toyota Innova Crysta,2016,36000,Diesel,11.36,2755,171.5,17.5
8,Volkswagen Vento Diesel,2013,64430,Diesel,20.54,1598,103.6,5.2
9,Tata Indica Vista,2012,65932,Diesel,22.3,1248,74.0,1.95
10,Maruti Ciaz Zeta,2018,25692,Petrol,21.56,1462,103.25,9.95
11,Honda City 1.5,2012,60000,Petrol,16.8,1497,116.3,4.49
12,Maruti Swift VDI,2015,64424,Diesel,25.2,1248,74.0,5.6
13,Land Rover Range,2014,72000,Diesel,12.7,2179,187.7,27.0
14,Land Rover Freelander,2012,85000,Diesel,0.0,2179,115.0,17.5
15,Mitsubishi Pajero Sport,2014,110000,Diesel,13.5,2477,175.56,15.0
16,Honda Amaze S,2016,58950,Diesel,25.8,1498,98.6,5.4
17,Maruti Swift DDiS,2017,25000,Diesel,28.4,1248,74.0,5.99
18,Renault Duster 85PS,2014,77469,Diesel,20.45,1461,83.8,6.34
19,Mercedes-Benz New C-Class,2014,78500,Diesel,14.84,2143,167.62,28.0
20,BMW 3 Series,2014,32982,Diesel,22.69,1995,190.0,18.55
21,Maruti S Cross,2015,55392,Diesel,23.65,1248,88.5,8.25
22,Audi A6 2011-2015,2015,55985,Petrol,13.53,1984,177.01,23.5
23,Hyundai i20 1.2,2010,45807,Petrol,18.5,1197,80.0,1.87
24,Volkswagen Vento Petrol,2010,33000,Petrol,14.4,1598,103.6,2.85
25,Honda City Corporate,2012,51920,Petrol,16.8,1497,116.3,4.25
26,Nissan Micra Diesel,2012,54000,Diesel,23.08,1461,63.1,4.25
27,Maruti Alto K10,2013,54000,Petrol,20.92,998,67.1,2.75
28,Honda WRV i-VTEC,2018,37430,Petrol,17.5,1199,88.7,9.9
29,Toyota Innova 2.5,2007,262000,Diesel,12.8,2494,102.0,4.0
30,Renault Duster 110PS,2013,62000,Diesel,19.01,1461,108.45,7.75
31,Toyota Corolla Altis,2012,87615,Petrol,14.53,1798,138.1,6.75
32,Mahindra Ssangyong Rexton,2013,72000,Diesel,11.18,2696,184.0,12.5
33,Audi A6 2.7,2010,35000,Diesel,12.4,2698,179.5,11.5
34,Volkswagen Vento 1.6,2014,55431,Petrol,16.09,1598,103.5,6.98
35,Maruti Wagon R,2009,83816,Petrol,14.0,1061,64.0,1.85
36,Maruti Vitara Brezza,2018,50075,Diesel,24.3,1248,88.5,8.63
37,Mahindra KUV 100,2017,52000,Petrol,18.15,1198,82.0,4.85
38,Mercedes-Benz M-Class ML,2013,85000,Diesel,11.74,2987,254.8,28.0
39,Volkswagen Polo Diesel,2013,62000,Diesel,22.07,1199,73.9,5.0
40,Maruti Alto LXi,2008,90000,Petrol,19.7,796,46.3,1.25
41,Tata Nano LX,2014,19698,Petrol,25.4,624,37.5,1.53
42,Mahindra KUV 100,2017,22033,Diesel,25.32,1198,77.0,5.58
43,Hyundai i20 Magna,2014,35487,Petrol,18.5,1197,82.9,4.74
44,Hyundai Elantra 2.0,2014,46374,Petrol,14.62,1999,149.92,8.85
45,Toyota Corolla Altis,2016,52001,Petrol,14.28,1798,138.03,10.11
46,Hyundai Elantra CRDi,2008,58005,Diesel,14.9,1991,112.2,4.25
47,Toyota Innova Crysta,2012,70704,Petrol,11.25,2694,163.7,10.95
48,Hyundai Xcent 1.1,2014,75000,Diesel,24.4,1120,71.0,3.85
49,Mahindra Thar CRDe,2012,75800,Diesel,16.55,2498,105.0,5.5
50,Audi A4 2.0,2015,13648,Diesel,17.11,1968,174.33,21.43
51,Maruti Swift LDI,2014,52000,Diesel,22.9,1248,74.0,4.25
52,Maruti Swift Ldi,2014,53000,Diesel,17.8,1248,75.0,3.3
53,Maruti Swift VDI,2013,65650,Diesel,28.4,1248,74.0,3.85
54,Hyundai Grand i10,2015,54000,Petrol,18.9,1197,82.0,3.6
55,Volkswagen Vento 2013-2015,2015,39000,Petrol,15.04,1598,103.2,3.99
56,Renault KWID RXT,2017,16542,Petrol,25.17,799,53.3,3.3
57,Hyundai i10 Asta,2010,32000,Petrol,20.36,1197,78.9,2.07
58,Nissan X-Trail SLX,2010,121812,Diesel,13.29,1995,147.6,7.75
59,Maruti Zen Estilo,2010,39300,Petrol,18.2,998,67.1,2.25
60,Toyota Innova Crysta,2017,22000,Diesel,13.68,2393,147.8,16.5
61,Ford Figo Diesel,2010,72000,Diesel,20.0,1399,68.0,2.75
62,Mercedes-Benz New C-Class,2015,58000,Petrol,11.74,1796,186.0,26.7
63,Mercedes-Benz New C-Class,2011,65000,Diesel,15.8,2148,170.0,10.0
64,Tata Indica V2,2016,178000,Diesel,25.0,1396,69.0,2.5
65,Audi A4 2.0,2012,65664,Diesel,16.55,1968,140.0,13.5
66,Honda City ZX,2007,63000,Petrol,16.4,1497,78.0,1.85
67,Mercedes-Benz C-Class Progressive,2019,15369,Diesel,0.0,1950,194.0,35.67
68,Maruti Ertiga SHVS,2016,63000,Diesel,24.52,1248,88.5,8.15
69,Hyundai Creta 1.4,2018,13000,Diesel,22.1,1396,88.7,10.5
70,Porsche Cayenne 2009-2014,2008,73000,Petrol,8.5,4806,500.0,14.5
